Institution_ID,Institution_Type,Country,Employee_Count,Annual_Revenue_M,IT_Spend_Percent_Revenue,AI_Budget_Allocated,AI_Budget_Percent_Revenue,Budget_Growth_YoY,Has_Dedicated_AI_Team,Technical_Readiness_Score,API_Integration_Score,Data_Lake_Exists,Legacy_System_Score,Data_Maturity_Index,Governance_Framework_Exists,Governance_Maturity,AI_Governance_Committee,Model_Risk_Management_Maturity,Compliance_Incidents_12M,Risk_Culture_Score,Data_Privacy_Compliant,Cybersecurity_Level,Leadership_Commitment,Training_Investment_Per_Employee,Vendor_Strategy,Deployment_Mode,Existing_AI_Projects,Use_Case_Breadth,LLM_Adoption_Status
19,Fintech,European Union,2704,395.9,4.05,0.0,0.0,-6.13,0,57,50,1,63,0.334,0,1,0,1,0,3,1,2,1,399.95,In-house,On-Prem,0,1,0
20,Bank,United Kingdom,4719,283.39,2.38,0.27,0.123,13.55,0,54,41,0,39,0.664,1,5,1,3,0,2,1,5,4,464.73,Vendor,PrivateCloud,3,2,0
21,Asset Manager,United Kingdom,7910,4135.6,6.76,77.63,1.394,9.65,1,81,63,1,40,0.946,0,3,1,2,0,2,1,5,4,962.39,Vendor,PrivateCloud,11,3,1
22,Bank,European Union,1024,208.97,5.82,2.3,1.171,19.5,1,46,53,1,49,0.426,1,1,1,1,0,1,0,2,5,1425.12,Vendor,PrivateCloud,3,3,0
23,Bank,European Union,753,2934.92,3.15,50.98,1.149,10.32,0,50,42,0,48,0.651,0,1,1,1,0,2,1,1,3,631.16,Hybrid,PublicCloud,2,2,0
24,Fintech,European Union,4757,301.42,4.09,0.0,0.0,8.17,0,19,14,0,65,0.036,0,1,0,1,0,2,1,1,1,332.14,Vendor,On-Prem,3,3,0
25,Fintech,United States,291,510.81,3.31,5.22,0.938,0.71,0,54,23,1,82,0.395,1,2,0,1,0,2,1,3,1,517.25,Vendor,PublicCloud,2,5,0
26,Payment Processor,European Union,427,1092.75,6.72,11.69,1.184,9.34,0,85,37,1,70,0.888,0,1,1,1,0,2,1,4,5,1007.32,Vendor,PrivateCloud,4,8,0
27,Bank,United Kingdom,1247,951.09,2.86,4.79,0.426,-3.06,0,57,45,1,44,0.424,1,5,1,5,0,4,1,4,2,721.95,Vendor,On-Prem,10,3,0
28,Insurance,European Union,3733,862.21,5.73,7.02,0.844,-3.55,1,72,73,0,29,0.578,1,3,0,1,3,1,0,5,1,984.12,Hybrid,On-Prem,17,1,0
29,Insurance,United States,4532,747.75,5.53,7.13,1.044,8.17,0,73,59,1,54,0.858,1,3,0,4,0,3,1,3,2,444.27,Hybrid,PublicCloud,7,6,1
30,Bank,United Kingdom,4846,2113.79,7.34,16.62,1.083,8.54,1,68,62,1,42,0.626,1,5,0,5,0,5,0,4,5,2480.77,In-house,PrivateCloud,4,4,1
31,Asset Manager,European Union,526,516.19,3.24,0.0,0.0,9.18,1,59,35,0,78,0.065,0,1,1,2,3,1,0,3,1,1153.35,Vendor,PublicCloud,2,0,0
32,Bank,United States,2227,2735.33,2.31,17.64,0.835,9.84,1,43,29,1,52,0.402,1,4,1,3,0,4,1,1,4,803.04,Hybrid,On-Prem,2,6,0
33,Bank,Other,227,158.8,3.96,0.0,0.0,2.87,0,37,25,0,68,0.171,0,2,0,1,0,2,0,1,1,316.29,Vendor,PrivateCloud,4,1,0
34,Credit Union,European Union,552,520.88,3.37,6.28,1.079,3.42,1,47,28,0,72,0.312,1,5,0,5,0,2,0,2,3,494.7,Hybrid,PrivateCloud,1,2,0
35,Hedge Fund,Other,7696,1535.59,5.51,19.08,1.275,3.48,1,84,72,0,18,0.597,1,2,1,2,0,2,0,5,3,1619.97,In-house,On-Prem,8,6,0
36,Payment Processor,United Kingdom,2043,1459.39,4.22,16.16,0.9,22.23,1,67,52,1,39,0.779,0,3,0,5,1,3,0,1,5,2481.67,Hybrid,PrivateCloud,5,6,1
37,Bank,United States,559,872.37,2.75,6.46,0.726,8.9,0,57,52,0,52,0.502,0,2,1,1,0,2,0,5,1,320.62,Vendor,PrivateCloud,3,5,0
38,Bank,European Union,327,137.44,2.51,0.59,0.376,8.27,1,35,8,0,77,0.359,1,5,0,4,0,3,1,3,2,454.46,Hybrid,PrivateCloud,4,1,0
39,Asset Manager,United Kingdom,585,965.46,4.85,10.1,0.917,8.34,0,53,33,0,50,0.39,0,2,0,4,2,3,1,2,2,1100.12,Vendor,On-Prem,2,3,0
40,Fintech,United Kingdom,2514,1372.11,6.01,9.28,0.609,7.38,1,66,32,0,64,0.728,1,5,1,5,2,5,1,3,5,1989.66,Vendor,PrivateCloud,4,1,0
41,Bank,European Union,5842,2639.47,3.92,0.0,0.0,11.47,0,22,31,0,71,0.242,1,1,0,3,0,4,1,1,3,1788.67,Hybrid,On-Prem,1,1,0
42,Fintech,European Union,6311,844.58,2.49,6.43,0.805,2.32,0,46,36,0,50,0.138,0,4,0,4,0,5,0,2,1,594.42,Hybrid,On-Prem,3,2,0
43,Bank,United States,2575,567.67,4.55,3.69,0.661,4.51,1,78,76,1,21,0.933,1,5,0,3,0,4,0,5,3,993.43,In-house,PublicCloud,11,6,1
44,Brokerage/Dealer,European Union,2507,1353.15,4.91,14.54,1.111,8.59,0,78,76,1,34,0.508,1,3,1,2,0,1,1,5,2,2071.46,Vendor,PrivateCloud,4,2,0
45,Bank,United Kingdom,1266,727.21,4.24,1.96,0.256,9.65,0,35,11,0,74,0.206,0,1,0,1,0,1,0,1,3,786.31,Hybrid,On-Prem,0,1,0
46,Asset Manager,European Union,2810,832.2,4.62,7.75,1.184,12.53,0,66,33,0,69,0.521,0,4,0,2,0,3,1,1,3,976.66,In-house,PublicCloud,1,0,0
47,Bank,United States,5308,10105.75,8.27,174.08,1.515,6.65,1,77,58,1,20,0.902,1,4,1,4,0,2,1,5,2,951.05,In-house,PrivateCloud,10,6,1
48,Insurance,United Kingdom,473,657.6,4.41,0.0,0.0,5.01,0,59,33,0,52,0.186,0,4,0,3,0,3,1,1,2,1223.64,In-house,PrivateCloud,5,2,0
49,Insurance,European Union,3058,111.48,4.12,1.72,1.597,9.02,1,96,54,0,43,0.576,1,5,1,5,0,3,1,4,2,778.5,Vendor,PrivateCloud,7,1,1
50,Bank,European Union,3081,1095.45,4.31,3.14,0.229,-1.66,0,53,49,1,62,0.223,0,2,0,3,3,1,0,2,2,606.69,Hybrid,PublicCloud,4,0,0
51,Hedge Fund,United Kingdom,1944,3139.58,5.97,58.45,1.84,8.37,0,90,64,1,51,0.766,1,5,0,4,1,5,1,4,2,2021.71,Hybrid,PrivateCloud,5,0,1
52,Investment Bank,European Union,1735,491.24,3.48,4.02,0.871,6.59,0,32,20,0,72,0.46,0,2,0,1,0,3,1,1,4,681.05,Vendor,On-Prem,1,1,0
53,Credit Union,United States,1372,906.38,5.16,12.2,1.384,10.08,1,68,60,1,47,0.795,0,3,1,3,0,2,1,5,5,1100.7,Hybrid,PublicCloud,11,4,1
54,Brokerage/Dealer,Other,1138,261.97,4.3,0.15,0.049,3.77,1,58,58,0,61,0.289,1,2,0,1,0,2,0,4,3,483.08,Hybrid,On-Prem,5,2,0
55,Insurance,European Union,5466,4202.09,7.93,75.4,1.865,15.9,0,90,62,1,26,0.659,0,5,1,5,1,5,1,3,5,624.61,In-house,PublicCloud,11,3,1
56,Credit Union,European Union,6286,3914.94,7.19,67.33,1.936,-1.26,1,100,100,1,28,0.925,1,5,0,5,0,5,1,5,4,2492.54,In-house,On-Prem,25,7,1
57,Bank,United Kingdom,1091,2025.02,3.69,9.97,0.614,8.83,0,28,0,0,83,0.223,1,5,1,5,0,5,0,5,5,1012.66,Vendor,On-Prem,0,4,0
58,Bank,United States,2260,607.95,5.8,6.66,1.274,8.06,1,95,58,1,45,0.865,0,3,0,2,0,2,0,4,5,1039.09,Hybrid,PrivateCloud,7,4,1
59,Bank,United Kingdom,962,903.86,1.44,12.88,1.341,6.31,1,69,46,0,55,0.495,1,3,1,4,2,4,1,2,3,3125.41,Vendor,PrivateCloud,6,1,0
60,Bank,United Kingdom,560,501.22,2.08,2.66,0.549,5.89,1,59,41,1,49,0.418,0,2,1,3,0,5,1,2,2,307.63,Vendor,PublicCloud,6,4,0
61,Fintech,United Kingdom,2492,9228.84,5.12,64.19,0.716,7.02,0,60,44,1,57,0.529,0,1,0,1,6,3,0,5,1,674.07,Hybrid,On-Prem,4,2,0
62,Bank,United States,862,1322.02,3.86,12.39,0.993,1.27,0,46,24,0,80,0.656,0,3,0,1,4,3,1,2,3,522.82,In-house,On-Prem,2,1,0
63,Payment Processor,European Union,4005,1371.88,7.82,28.55,1.622,14.97,0,74,77,1,28,0.955,1,5,1,5,0,5,1,5,5,1386.08,In-house,On-Prem,8,7,1
64,Fintech,United States,1875,4961.79,4.39,70.08,1.808,19.33,0,83,74,1,17,0.805,1,4,0,2,2,4,1,1,5,1688.47,Vendor,PrivateCloud,7,4,1
65,Bank,Other,1232,1084.86,4.46,0.0,0.0,-5.52,0,53,0,0,80,0.067,0,1,0,1,2,1,1,2,1,229.06,Hybrid,PublicCloud,2,2,0
66,Insurance,United States,1514,1398.32,6.68,31.68,2.571,14.37,0,77,64,1,38,0.959,0,4,0,5,0,3,0,4,4,1062.21,In-house,PublicCloud,16,3,1
67,Bank,Other,1386,187.06,4.04,2.41,1.157,12.08,1,68,42,1,71,0.395,1,5,0,5,2,5,0,1,2,185.33,Vendor,PublicCloud,3,2,1
68,Payment Processor,Other,2698,1343.25,3.58,3.58,0.242,10.88,0,27,0,0,68,0.156,0,2,0,2,0,4,1,2,1,407.94,Hybrid,PublicCloud,1,0,0
69,Bank,United Kingdom,2962,22805.42,8.21,500.0,2.183,5.63,1,79,89,0,29,0.94,0,5,1,5,0,2,1,5,2,1874.73,Hybrid,PublicCloud,23,4,1
70,RegTech,Other,2181,1325.48,5.84,11.78,0.925,9.25,0,54,27,1,62,0.487,0,4,0,3,0,2,1,3,2,268.91,In-house,PrivateCloud,2,2,0
71,Investment Bank,Other,2805,1116.98,7.16,20.47,1.595,7.98,0,65,44,1,41,0.792,0,1,1,1,0,2,1,3,5,339.66,Vendor,On-Prem,3,1,1
72,Bank,United States,3113,553.38,7.72,6.66,1.072,10.91,1,86,83,1,6,0.899,0,2,0,3,0,1,1,4,4,569.02,Vendor,PublicCloud,2,4,1
73,Bank,Other,1791,4419.53,5.68,0.0,0.0,19.16,0,60,47,1,68,0.514,1,4,0,2,0,1,1,2,4,482.59,Hybrid,PublicCloud,3,3,0
74,Payment Processor,United States,2327,586.2,3.67,5.58,1.046,12.57,0,66,40,1,49,0.81,1,5,1,5,2,5,0,2,5,742.0,Vendor,PublicCloud,7,1,1
75,Investment Bank,United States,2279,327.79,2.83,0.76,0.25,-3.14,0,36,34,0,68,0.331,1,3,0,2,2,3,1,1,2,290.03,Vendor,PublicCloud,3,2,0
76,Investment Bank,European Union,1763,635.85,6.6,3.34,0.52,7.13,1,96,76,1,54,0.617,1,1,0,1,0,1,0,5,2,590.79,In-house,On-Prem,13,1,0
77,Investment Bank,United States,4544,1184.02,6.26,17.01,1.729,1.4,1,76,72,0,50,0.675,1,4,1,4,0,2,1,4,1,1700.64,Hybrid,PrivateCloud,11,2,1
78,Bank,United States,691,1126.65,3.4,9.72,0.89,9.73,1,78,40,1,72,0.313,1,2,0,3,1,1,1,5,3,925.83,In-house,PublicCloud,4,2,0
79,Fintech,Other,1405,2622.36,3.6,10.61,0.411,12.5,0,41,27,0,70,0.504,1,5,1,5,0,5,1,1,4,687.19,Vendor,PrivateCloud,6,1,0
80,Bank,Other,514,451.59,5.52,4.03,0.861,8.73,1,63,47,1,60,0.727,1,5,1,2,0,2,0,2,4,602.54,Vendor,PublicCloud,3,3,0
81,Brokerage/Dealer,European Union,1300,285.19,3.11,2.49,0.683,7.06,1,90,49,0,65,0.746,0,4,1,5,0,4,0,5,1,1595.87,Hybrid,PrivateCloud,6,1,1
82,Asset Manager,European Union,357,379.33,3.63,2.81,0.718,6.56,1,59,36,0,52,0.256,1,2,0,3,0,4,1,2,2,537.74,Hybrid,PrivateCloud,4,0,0
83,Bank,Other,719,3051.8,1.38,21.86,0.64,16.37,1,75,51,0,53,0.644,0,4,1,2,1,2,1,3,4,659.73,Vendor,PublicCloud,4,3,0
84,Bank,United States,4960,903.15,4.23,5.17,0.77,15.24,0,83,39,0,63,0.721,0,3,1,3,0,3,0,5,4,344.71,Vendor,PrivateCloud,6,1,1
85,Bank,Other,2463,1435.06,5.02,15.61,1.26,8.83,1,98,67,1,35,0.805,0,5,1,4,0,5,0,2,3,1130.48,Hybrid,On-Prem,5,5,1
86,Bank,United Kingdom,704,379.04,4.5,5.27,1.127,16.53,1,84,63,1,27,0.836,1,4,0,3,0,4,1,5,3,488.03,Hybrid,PublicCloud,2,4,1
87,Investment Bank,Other,1730,914.82,4.91,16.28,1.526,12.03,1,80,51,0,48,0.674,1,2,0,1,3,1,1,4,3,1021.42,In-house,PrivateCloud,5,1,0
88,Asset Manager,European Union,902,876.7,4.6,0.0,0.0,6.41,0,74,25,0,77,0.339,0,1,0,1,0,1,0,1,1,607.83,Hybrid,PrivateCloud,4,1,0
89,Brokerage/Dealer,Other,1899,751.0,5.05,9.35,1.141,7.7,0,50,52,0,54,0.323,0,5,1,5,0,4,1,3,3,759.99,Hybrid,PrivateCloud,3,1,0
90,Fintech,Other,7614,7814.75,6.35,107.87,2.014,-1.5,1,79,82,1,28,0.866,0,3,1,4,1,1,1,5,3,1702.66,In-house,On-Prem,11,2,1
91,Bank,Other,1107,668.24,5.62,3.18,0.474,3.76,1,37,14,0,63,0.161,1,2,1,2,0,1,0,1,1,506.91,Vendor,PrivateCloud,1,1,0
92,Investment Bank,European Union,397,249.68,4.83,1.44,0.624,-1.11,0,55,34,0,56,0.249,0,1,0,1,0,2,1,2,1,749.69,In-house,PublicCloud,3,1,0
93,Investment Bank,Other,1384,2536.95,4.46,38.52,1.339,11.84,0,46,48,1,42,0.201,1,2,1,3,3,4,0,2,5,1961.62,In-house,On-Prem,3,0,0
94,Insurance,European Union,2942,361.7,4.65,3.77,0.953,14.41,0,64,54,1,48,0.521,1,5,1,4,0,5,1,5,4,1216.96,Vendor,PublicCloud,5,3,0
95,Investment Bank,United States,3170,1007.58,4.73,20.13,1.796,10.02,1,78,58,1,33,0.652,0,1,0,1,0,1,0,4,2,414.88,Hybrid,On-Prem,6,2,1
96,Fintech,European Union,4296,1125.59,3.7,10.7,1.08,15.78,1,61,50,0,64,0.227,1,1,0,1,3,1,1,2,2,890.06,Vendor,PublicCloud,8,5,0
97,Insurance,United States,672,579.86,3.44,0.87,0.155,3.83,0,70,48,1,24,0.441,1,3,0,5,0,5,0,2,3,1034.82,Vendor,PublicCloud,8,4,0
98,Fintech,Other,931,796.14,4.11,0.52,0.053,11.74,0,51,40,1,35,0.381,1,3,1,4,0,3,0,4,5,1542.4,In-house,On-Prem,2,4,0
99,Bank,United States,1603,731.01,5.67,11.23,1.417,15.31,1,53,7,0,73,0.456,1,4,1,3,0,5,1,2,3,777.64,Vendor,PrivateCloud,1,3,0
100,Bank,Other,2545,3425.89,2.87,47.87,1.414,5.35,1,99,86,1,27,0.798,0,5,1,5,0,5,1,4,4,757.48,Hybrid,PublicCloud,5,2,1
101,Bank,United Kingdom,1863,681.08,7.06,12.28,1.315,12.13,0,72,49,1,43,0.85,1,5,0,5,0,2,0,4,5,645.08,Hybrid,PrivateCloud,10,3,1
102,Asset Manager,United States,616,648.17,3.64,4.7,0.565,10.55,0,67,40,1,68,0.203,1,2,0,3,2,1,1,3,2,320.97,Vendor,PublicCloud,0,3,0
103,Bank,Other,863,1077.06,3.26,17.79,1.672,24.29,1,79,43,1,64,0.775,1,5,1,4,0,4,1,4,5,1020.59,Hybrid,On-Prem,2,5,1
104,Insurance,United States,6217,1509.64,6.43,11.06,0.884,14.91,1,60,33,1,58,0.58,0,5,1,2,0,4,1,3,5,268.77,Hybrid,PublicCloud,1,3,0
105,Brokerage/Dealer,United Kingdom,322,604.39,2.49,0.0,0.0,2.81,0,14,0,0,82,0.027,1,5,1,3,1,4,1,1,1,258.81,Vendor,PrivateCloud,2,1,0
106,Bank,European Union,318,342.98,3.22,5.67,1.592,12.96,0,43,31,1,59,0.543,0,1,0,3,0,2,0,3,5,691.54,Hybrid,PublicCloud,3,0,1
107,Fintech,United Kingdom,1676,695.47,3.42,3.44,0.614,2.37,0,55,36,1,70,0.806,0,3,0,1,0,3,0,3,3,2025.67,Vendor,PrivateCloud,3,3,0
108,Investment Bank,European Union,1660,877.46,3.52,3.54,0.369,9.83,0,43,33,0,56,0.716,0,2,0,2,0,4,1,1,4,688.2,Vendor,On-Prem,5,2,0
109,Bank,European Union,14976,4187.12,5.54,32.67,0.916,12.68,0,50,31,1,49,0.524,1,4,0,2,0,4,1,5,5,608.23,In-house,PublicCloud,5,4,0
110,Bank,Other,1053,1223.54,4.42,15.92,0.941,1.9,1,65,35,1,68,0.26,0,1,0,1,0,3,0,4,4,1581.84,Vendor,On-Prem,5,1,0
111,Bank,United States,978,1247.43,4.0,8.61,0.7,5.8,1,65,18,0,66,0.393,1,3,0,3,0,4,1,2,1,550.35,Hybrid,PrivateCloud,3,1,0
112,Bank,United States,1150,148.94,5.4,2.07,1.1,1.79,1,67,63,0,53,0.53,1,4,1,4,0,1,1,3,3,2092.07,In-house,PrivateCloud,7,1,1
113,Credit Union,European Union,2191,2027.06,4.95,35.58,1.937,5.48,1,60,53,1,53,0.78,1,5,1,5,0,5,0,2,5,1501.23,In-house,On-Prem,3,4,1
114,Payment Processor,United Kingdom,535,710.19,4.46,0.0,0.0,-2.06,1,25,0,0,100,0.042,0,1,0,3,0,1,0,1,2,266.23,Vendor,On-Prem,3,1,0
115,Asset Manager,United Kingdom,1758,2504.97,4.58,11.93,0.567,9.44,0,36,25,0,49,0.24,0,5,1,4,0,1,1,3,5,807.72,Vendor,PrivateCloud,3,2,0
116,Brokerage/Dealer,United States,989,1278.19,3.7,0.0,0.0,9.86,0,72,34,1,49,0.241,1,2,1,4,0,5,1,1,1,654.82,Vendor,PublicCloud,3,2,0
117,Payment Processor,European Union,308,124.08,1.62,1.24,1.102,2.26,0,46,14,0,80,0.224,0,1,0,1,0,2,0,1,4,1658.91,Vendor,PrivateCloud,1,1,0
118,Bank,Other,4988,8494.34,3.47,69.78,0.886,8.6,1,71,58,1,58,0.622,0,3,0,2,5,4,0,5,4,1301.74,In-house,On-Prem,6,2,0
119,Brokerage/Dealer,United States,3053,1491.25,4.33,10.79,0.91,14.05,1,84,63,0,19,0.803,1,3,1,4,0,1,0,4,2,1321.67,In-house,PublicCloud,2,1,0
120,Insurance,United States,2378,1841.13,6.34,25.86,1.154,4.86,1,87,59,1,41,0.626,1,5,0,5,0,3,0,5,2,715.64,In-house,PrivateCloud,8,4,1
121,Payment Processor,European Union,1576,2077.5,4.71,17.75,0.928,12.94,1,52,54,0,40,0.735,1,5,0,3,1,5,1,3,3,968.57,Vendor,PrivateCloud,6,4,1
122,Brokerage/Dealer,United States,4520,7719.91,3.33,86.14,1.048,2.09,1,76,51,1,39,0.482,0,4,1,5,4,4,0,5,2,1195.02,In-house,PrivateCloud,5,3,1
123,Bank,European Union,2061,657.05,4.78,1.39,0.23,23.99,0,36,20,0,68,0.567,1,2,1,3,0,3,1,3,3,1871.72,Vendor,On-Prem,0,5,0
124,Bank,United Kingdom,1756,394.62,6.26,3.23,0.825,-2.95,0,61,58,1,45,0.514,1,4,1,5,0,5,1,3,2,1601.52,In-house,PrivateCloud,6,4,1
125,Bank,United Kingdom,2597,2250.69,6.64,16.99,0.755,13.72,0,61,35,0,64,0.239,1,4,1,4,0,5,1,1,3,656.23,Vendor,PrivateCloud,3,1,0
126,Fintech,United Kingdom,490,932.96,4.56,1.08,0.096,11.31,0,45,29,0,82,0.361,0,2,0,2,0,4,1,1,2,367.4,Vendor,PrivateCloud,4,3,0
127,Payment Processor,United Kingdom,641,80.29,4.53,1.02,1.193,15.07,0,62,27,0,69,0.477,1,1,0,3,0,5,0,3,2,1023.1,Vendor,On-Prem,2,2,1
128,Brokerage/Dealer,Other,553,504.23,4.3,3.57,0.665,9.21,0,37,34,1,52,0.469,0,2,1,3,0,2,1,1,5,422.23,Vendor,On-Prem,2,2,0
129,Bank,Other,1303,564.54,3.81,4.08,0.639,-13.01,0,79,21,0,67,0.373,1,2,1,1,0,3,1,4,2,350.33,In-house,PublicCloud,6,0,0
130,Insurance,European Union,3955,506.31,5.46,4.77,0.749,-1.13,1,100,54,1,38,0.588,1,2,1,1,0,4,1,5,2,1520.72,Vendor,PrivateCloud,4,2,0
131,Fintech,European Union,5426,2178.51,3.41,36.07,1.65,7.79,1,94,69,1,29,0.888,0,4,0,5,0,3,1,5,5,1443.19,Hybrid,PrivateCloud,1,6,1
132,Bank,United States,8279,901.75,2.63,9.36,1.15,11.54,0,50,37,1,57,0.543,1,2,1,2,0,5,0,3,2,771.46,In-house,PublicCloud,1,3,0
133,Bank,European Union,3264,3889.05,5.03,55.8,1.538,11.44,1,75,59,1,44,0.387,0,1,0,1,0,1,1,3,1,569.89,Hybrid,PrivateCloud,2,1,1
134,Bank,European Union,1039,265.03,4.24,1.62,0.657,13.79,0,55,33,0,77,0.404,0,3,1,1,0,2,0,2,3,682.64,In-house,On-Prem,1,1,0
135,Credit Union,United States,891,230.69,5.51,4.58,1.92,5.71,0,49,29,0,32,0.554,1,5,1,5,0,5,0,3,5,687.96,Hybrid,PrivateCloud,2,6,1
136,Bank,United States,554,1456.75,5.46,15.11,0.727,3.08,1,80,50,1,45,0.67,0,5,0,4,1,4,1,5,2,561.94,In-house,PublicCloud,4,3,1
137,Insurance,United States,2521,1781.7,5.12,9.91,0.526,9.63,1,53,60,0,56,0.462,1,5,1,4,0,4,1,1,2,567.19,Hybrid,PrivateCloud,5,3,0
138,Investment Bank,United States,3116,1043.12,4.38,6.57,0.616,-2.26,0,47,27,0,84,0.298,1,4,1,3,0,2,1,4,4,789.05,Vendor,PublicCloud,1,3,0
139,Fintech,European Union,369,857.57,4.13,9.61,1.189,11.17,0,24,0,0,93,0.196,1,4,1,5,1,3,1,1,5,1197.8,In-house,On-Prem,2,4,0
140,Hedge Fund,Other,1799,195.49,3.56,0.0,0.0,9.31,0,51,29,0,78,0.252,1,3,0,3,0,5,1,1,4,773.11,Hybrid,On-Prem,2,1,0
141,Hedge Fund,European Union,2850,1317.98,4.69,15.54,1.199,9.83,0,50,34,0,24,0.394,1,5,1,4,0,4,1,2,3,999.96,In-house,PublicCloud,4,2,0
142,Bank,United Kingdom,809,214.1,4.11,1.27,0.645,14.89,1,73,51,1,81,0.693,1,1,0,1,0,1,1,1,1,875.2,In-house,PublicCloud,1,0,0
143,Fintech,United Kingdom,1798,235.82,1.96,1.71,0.767,15.54,0,41,19,1,54,0.277,1,4,1,4,0,4,1,3,5,1361.32,In-house,PublicCloud,2,1,0
144,Bank,United Kingdom,3447,4550.03,3.01,65.63,1.224,9.32,0,49,71,1,22,0.802,0,3,0,4,2,3,1,2,5,1313.42,Vendor,PrivateCloud,5,2,0
145,Bank,European Union,2732,3418.08,3.94,33.18,1.253,7.44,1,92,62,1,64,0.837,1,5,1,4,3,4,1,4,3,710.88,In-house,PrivateCloud,4,2,1
146,Bank,United Kingdom,3333,786.96,3.97,5.92,0.727,10.33,1,47,24,0,58,0.303,1,5,0,2,1,5,1,3,4,1164.2,Vendor,PrivateCloud,2,1,0
147,Asset Manager,United States,3462,5011.88,5.0,65.79,1.625,15.03,1,100,73,1,60,0.819,1,4,1,5,0,2,1,4,5,896.84,In-house,PublicCloud,3,2,1
148,Insurance,European Union,2473,2640.74,5.34,43.72,1.74,0.91,0,78,60,1,36,0.889,1,2,1,3,0,3,1,5,5,2271.43,In-house,On-Prem,1,1,1
